Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/ (homepage),84,81,11000,13239.712448809509,5108.6006000005,22852.60349999953,1274.25,1.1630870770071176,1.1215482528282918,11000,16000,21000,22000,22000,22000,22000,23000,23000,23000,23000
GET,/?page=[n],23,22,9800,11308.084078261227,5567.034900002909,22534.13019999789,1526.3478260869565,0.31846431870432984,0.3046180439780546,9800,13000,13000,13000,19000,22000,23000,23000,23000,23000,23000
GET,/health,9,0,12000,13705.53891111154,5511.100800002168,22304.223700000875,2.0,0.12461647253647688,0.0,12000,17000,20000,21000,22000,22000,22000,22000,22000,22000,22000
GET,/post/[id],26,0,15000,15325.592615385178,6581.6445000018575,23430.611200001294,34600.346153846156,0.36000314288315544,0.0,15000,19000,20000,20000,22000,22000,23000,23000,23000,23000,23000
GET,/search,23,0,10000,11986.210686956285,6004.859000000579,22880.899700001464,86294.04347826086,0.31846431870432984,0.0,10000,13000,16000,17000,20000,22000,23000,23000,23000,23000,23000
GET,/search/suggestions,9,0,9300,12172.115199999906,6143.597900001623,22575.35469999857,440.77777777777777,0.12461647253647688,0.0,9300,13000,13000,22000,23000,23000,23000,23000,23000,23000,23000
GET,/sitemap.xml,50,25,13000,10820.729099999882,2808.858100001089,13379.152099998464,22380.0,0.6923137363137605,0.34615686815688024,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000
,Aggregated,224,128,12000,12590.64899687506,2808.858100001089,23430.611200001294,18524.553571428572,3.101565538685647,1.7723231649632267,12000,13000,16000,18000,22000,22000,23000,23000,23000,23000,23000
