Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1781450921,25,,Aggregated,1.100000,0.000000,10000,13000,15000,16000,18000,18000,18000,18000,18000,18000,18000,41,0,10000,10311.543165853835,2430.3798000000825,18325.342299998738,49299.34146341463
1781450922,25,,Aggregated,1.100000,0.000000,11000,13000,15000,17000,18000,18000,18000,18000,18000,18000,18000,42,0,10000,10490.568930952577,2430.3798000000825,18325.342299998738,48900.47619047619
1781450923,25,,Aggregated,1.100000,0.000000,11000,14000,16000,17000,18000,18000,18000,18000,18000,18000,18000,43,0,11000,10629.670934883867,2430.3798000000825,18325.342299998738,48520.16279069767
1781450924,25,,Aggregated,1.100000,0.000000,11000,15000,16000,17000,18000,18000,18000,18000,18000,18000,18000,46,0,11000,11035.461771739354,2430.3798000000825,18325.342299998738,46061.760869565216
1781450925,25,,Aggregated,1.300000,0.000000,11000,15000,17000,17000,18000,18000,18000,18000,18000,18000,18000,47,0,11000,11181.237125532172,2430.3798000000825,18325.342299998738,45803.85106382979
1781450926,25,,Aggregated,1.500000,0.000000,11000,16000,17000,18000,18000,18000,18000,18000,18000,18000,18000,49,0,11000,11459.934624490048,2430.3798000000825,18336.97960000063,45804.795918367345
1781450927,25,,Aggregated,1.400000,0.000000,12000,16000,17000,18000,18000,18000,18000,18000,18000,18000,18000,51,0,12000,11694.047329412002,2430.3798000000825,18336.97960000063,44649.94117647059
1781450928,25,,Aggregated,1.500000,0.000000,13000,16000,17000,18000,18000,18000,18000,18000,18000,18000,18000,53,0,13000,11917.644073585114,2430.3798000000825,18336.97960000063,43588.75471698113
1781450929,25,,Aggregated,1.500000,0.000000,13000,17000,18000,18000,18000,18000,18000,18000,18000,18000,18000,55,0,13000,12067.919360000222,2430.3798000000825,18336.97960000063,42595.509090909094
1781450930,25,,Aggregated,1.700000,0.000000,13000,16000,17000,18000,18000,18000,18000,18000,18000,18000,18000,57,0,13000,12111.634919298429,2430.3798000000825,18336.97960000063,45831.42105263158
